Spanish,English
"perdone, caballero","excuse me, sir"
¡siéntate!,Sit down!
¿qué talla está?,What size is it?
dormir hasta tarde,sleep late
pasar la noche en blanco,have a sleepless night
¡qué sueño tengo ahora!,I'm sleepy
¡que duermes tranquilo!,Sleep well!
hacer el listillo con,get smart with
le olían los pies,she had smelly feet
te echo tanto de menos,I miss you so
eso espero/ creo,I hope/think so
¿y qué?,So what?
se le pasó la borrachera,he sobered up
algunos países,some countries
¿quieres?,Would you like some?
¿pasa algo?,Is something wrong?
quedemos para comer un día de éstos,let's have lunch sometimes
tan pronto como,as soon as
lo antes posible,as soon as possible
cuando antes mejor,the sooner the better
siento pena por ella,I feel sorry for her
"lo siento, llego un poco tarde","I'm sorry ,I'm bit late"
lo siento pero...,I'm sorry but...
¡disculpe!,Sorry!
puedes hablar más despacio,could you speak slowly
¿hablas alguna lengua extranjera?,Do you speak a foreign language?
no nos hablamos,we're not speaking (quarreled)
¿puedo hablar con...?,Can I speak to...?
me quedé sin habla,I was left speechless
¿se deletrea así?,Is it spelt this way?
¿cómo se escribe?,How is it spelt?
me da vueltas la cabeza,my head is spinning
¡huele mal!,it smells bad
¿fumadores o no fumadores?,Smoking or non–smoking?
está nevando,it's snowing
¿qué clase de coche?,What sort of car?
"esta agotado, esta todo ocupado",we're sold out
a pesar de,in spite of
no soporto a Juan,I can't stand John
le dan asco las cebollas,I can't stand onions
¡no te muevas!,Stand still!
mirar fijamente,stare at
me muero de hambre,I'm starving
me quedo en el hotel,I'm staying at hotel
"Quisiéramos quedarnos del..,al...",We want to stay from... till ...
¡Deja de poner esa cara!,Stop making that face!
¡Pare la música!,Stop the music!
"vaya Ud derecho, hasta que llega a",Go straight! When you reach...
todo recto,straight ahead
yo apenas estoy batallando con Español,I'm hardly struggling with Spanish
todavía estoy estudiando,I'm still studying
sigo sin entenderlo,I still don't understand
¿todavía lo quieres?,Do you still want it?
dejar hacer algo,stop doing something
estar estresado,be under stress
estar en huelga,be on strike
luchar para hacer algo,struggle to do something
esta atascado,it's stuck
Bueno..... ¿Algún tema?,Ok...any subject (to talk about)?
¿cuál es el tema?,What’s the subject?
conseguir hacer algo,succeed in doing something
es una mierda,it sucks
¿Puedes sugerir mi sitios para comer/visitar?,Can you suggest a place to eat?
"no me queda bien, no me sienta bien",it doesn't suit me
no sé exactamente/no estoy seguro,I'm not sure
asegurarse de que,make sure that
navegar por Internet,surf the Net
rodeado de,surrounded by
lo juro,I swear
empapado de sudor,covered in sweat
¿Cuánto tiempo se tarda? cuánto tiempo lleva?,How long does it take?
¡Adiós cuídate y qué tengas un lindo día!,"Ok take care, and have a nice day!"
la llevó a cenar,he took her out to dinner
tiene mucho talento,he is very talented
¿con quién hablo?,Which whom I'm talking?
lo/los tomaré,I will take it/them
esta plaza es ocupada,this seat is taken
ponerse moreno,get a tan
¿puedo probarlo?,Can I taste it?
tiene mal gusto,he has no taste
"¿Podría pedirnos un taxi, por favor?",Can you call a taxi for us?
soy profesor,I'm a teacher/doctor
¡debes tener telepatía!,You must be telepathic!
se lo diré,I will tell him
¡dime!,Tell me!
gracias a,thanks to
le agradezco su información,thank you for the info
en teoría,in theory
¿Hay algún hotel por aquí?,Is there a hotel here?
Creo que...,I think that...
éste,this one
Entonces vería...al extremo de este camino,then you'll see...at the end of this street
creo que si/no,I (don't) think so
tengo sed,I'm thirsty
Soy Mario al habla,this is Mario speaking
quiero presentarle a mi padre,this is my father
boleto de ida y vuelta,round trip ticket
por primera vez,for the first time
esta vez,this time
todo el rato,all the time
tomate tu tiempo,take your time
¿está ocupado este asiento?,Is this seat taken?
puntual,on time
¿qué hora es?,What time is it?
estar cansado de algo,be tired of something
para ser sincero,to be honest with you
no lo toleraré,I won't tolerate it!
ir al baño,go to the toilet
estar entrenándose (sp),be in training
yo invito,it's my treat (I'm paying)
es Verdad,True.
¿Cómo puedo confiar en ti?,How can I trust you?
"lo he intentado, se puede hacer!","I've tried it, it works"
¿podría probarme?,Can I try it on?
gire a la izquierda/derecha,turn left/right
me toca a mí,it's my turn
te toca,it's your turn               ***
pues tuerza Ud por la derecha,Then turn to the left...
¿qué tipo/clase de..?,What type of....?
lo último en coches,the ultimate car
me siento incómodo con él,I feel uncomfortable with him
eso no es justo,that's unfair
está en la universidad,he is at university
¿Qué es de tu vida?,What are you up to these days?
tú eliges/ tú decides,it's up to you
¿qué onda?,What’s up?
disgustarse por algo,get upset about something
poner algo al revés,turn something upside down
¿es urgente!,It’s urgent!
no me sirve,it's of no use to me
no sirve de nada,it's no use
no estar acostumbrado a algo,be not used to something
no se como se usa éste,I don't know how to use this
ser un inútil,be useless (person)
antes me gustaba,I used to like him
como de costumbre,as usual
estar/ir de vacaciones,be/go on vacation
¿tiene alguna habitación libre?,do you have any vacancies
estoy aquí de vacaciones,I'm here on vacation
no fue muy preciso,he was very vague about it
en vano,in vain
¿tienes una comida vegetariana?,Do you have a vegetarian meal?
soy vegetariano,I'm vegetarian
¿Qué te parece? ¿Qué opinas?,What’s your verdict?
con vistas a,with a view to (hotel)
¿Qué podemos visitar en esta zona?,What can we visit in the area?
¿llevan mucho rato esperando?,Have you been waiting long?
¡espérame!,Wait for me!
¿podría despertarme a las...?,Can you wake me up at...?
¿se puede ir andando?,Can we walk there?
¿quieres dar un paseo?,Do you want to go for a walk?
salir a dar un paseo,go for a walk
se puede ir caminando,it's within walking distance
caminar es uno de los mejores ejercicios,walking is one of the best exercise
estar en guerra,be at war
es una pérdida de dinero/tiempo,it's a waste of money/ time
"por cierto cómo te llamas, a propósito","By the way, what's your name?"
¡ni hablar!,No way!
modo de vida,way of life
¡ten cuidado!,Watch out!
hacer pipí,do a wee–wee
¿cuánto pesas?,How much do you weigh?
es raro,it's weird
de nada,you're welcome
¡Ponte bueno! ¡que te mejores!,Get well soon!
bienvenido a nueva york,welcome to New York
¿qué es?,What is it?
¿Cual es la capital de...?,What’s the capital of..?
¿A ti qué te importa?,what's it to you : (
¿de qué se trata?,What is it about?
¿De qué parte de Nueva york eres?,What part of New York are you from?
haré lo que quieras,I'll do whatever you want
¿qué día?,Which day?
cuando era niño,when I was a child
llámame cuando quieras,call me whenever you want
¿de dónde venís?,Where are you from?
¿De dónde chateas? –– yo desde Ohio,Where are you chatting from?
viví en mosco una temporada,I lived in  Moscow for a while
esperaré un rato más,I will wait a while longer
¿de quién es?,Whose is it?
hace viento,it's windy
No me extraña. No me sorprende,No wonder!
"no funciona , esta roto/rota",it doesn't work
dar la vuelta al mundo,go around the world
no te preocupes! todo saldrá bien,Don’t worry!
¿qué pasa?,What’s wrong?
se ha equivocado de número,you have a wrong number
¿con quien puedo hablar?,Who can I talk to?
¿Con quien tengo el gusto?,Who I'm talking to?
¿de quien es esto?,Who does it belong to?
¿de quién es esto?,Whose is this?
la chica con quien vivo,The girl I live with.
¿me sigues?,Are you with me?
él es mujeriego,he is a womanizer
¿Le importaría ayudar me?,I wonder if you could help
tienes mi palabra,you have my word
¿cómo funciona?,How does it work?
no sirve el audio aquí,the sound doesn't work here
"no te molestes, ya respondo yo","don't worry, I will get it (door)"
lo peor,the worst
valer la pena,be worth it
quería reservar una habitación,I'd like to book a room
Nos gustaría ir a...,We’d like to go to...
Quisiera confirmar/cambiar/cancelar...,I'd like to confirm/change/cancel...
quiero ser médico,I would like to be a doctor
quisiera un café con leche,I would like coffee with milk
¿En qué trabajas?,What work do you do?
"puedes escribirlo, por favor",Would you write that down?
"¡Escríbalo, por favor!",Write it down please!
estar equivocado,be wrong
la conozco desde hace años,I've known him for years
mi hermana menor,my youngest sister
¡feliz año nuevo!,Happy new year!
¿has acabado ya?,Have you finished yet?
todavía no,not yet
todavía no ha llegado,he hasn't arrived yet
